0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
303,387,470,512,0,366,366,366,366,282,282,282,282,240,199,178,178,177,135,114,93,0,699,615,552,469,0,428,343,281,219,448,323,260,218,469,344,281,239,490,407,365,323,0
303,387,470,512,0,366,366,366,366,282,282,282,282,240,199,178,178,177,135,114,94,0,699,615,552,469,0,428,343,281,219,448,323,260,218,469,344,281,239,490,407,365,323,0
303,387,470,512,0,365,366,366,366,282,282,282,282,240,199,178,178,177,136,114,93,0,699,615,552,469,0,428,343,281,219,448,323,260,218,469,344,281,239,490,407,365,323,0
303,387,470,512,0,365,366,366,366,282,282,282,282,240,199,178,178,177,136,114,93,0,699,615,553,469,0,428,343,281,239,448,323,260,218,469,344,281,239,490,407,365,323,0
303,387,470,512,0,365,366,366,366,282,282,282,282,240,199,178,178,177,135,114,94,0,699,615,552,469,0,428,343,281,219,448,323,260,218,469,344,281,239,490,406,365,323,0
324,407,471,0,0,366,366,386,386,303,302,282,282,240,219,198,177,177,136,114,93,0,699,595,532,0,0,427,323,260,198,427,302,240,198,448,344,281,219,469,406,344,303,0
324,407,491,512,0,366,366,386,366,303,282,282,282,240,198,178,177,178,135,114,73,0,698,594,531,469,0,406,302,239,177,407,282,219,177,428,323,260,198,469,386,344,302,0
324,387,471,0,0,366,366,366,365,282,282,282,261,240,198,177,156,177,115,94,73,0,678,574,511,0,0,406,281,219,176,407,281,218,156,428,322,260,198,469,386,344,302,0
323,387,470,512,0,345,345,345,345,282,261,240,240,219,177,156,135,157,114,73,52,0,678,574,510,428,0,386,281,198,156,406,261,198,156,427,302,240,197,449,386,344,302,0
303,386,470,512,0,324,324,324,303,261,240,220,199,198,156,135,114,136,93,52,31,0,678,574,510,407,0,386,281,198,135,407,261,198,135,427,323,260,198,469,386,344,322,0
302,366,449,491,534,303,303,282,261,240,219,198,178,178,135,114,73,135,72,31,0,0,698,594,511,407,344,406,281,198,135,427,281,198,135,448,323,260,198,469,406,365,323,0
282,345,428,470,512,282,261,261,240,219,198,177,156,157,115,93,52,115,52,0,0,0,699,595,511,407,323,407,281,198,135,428,281,219,156,448,344,281,219,490,427,385,0,0
282,324,407,449,491,261,220,219,198,198,157,156,115,156,94,52,31,94,31,0,0,0,719,615,531,427,344,427,282,219,156,448,302,240,177,469,364,282,240,511,448,407,0,0
262,324,366,407,449,220,198,177,136,177,135,114,73,135,73,31,0,94,31,0,0,0,740,615,532,428,344,448,323,240,177,469,323,240,198,511,385,303,281,552,490,469,0,0
261,303,345,366,408,198,156,115,94,156,94,52,51,115,52,0,0,94,31,0,0,0,761,636,553,448,365,469,344,281,218,490,365,302,260,532,428,0,0,574,531,511,0,0
282,303,324,324,345,177,135,93,52,136,73,30,0,114,31,0,0,94,31,0,0,0,782,677,594,490,386,490,385,323,281,531,406,344,323,573,469,0,0,615,573,573,0,0
282,303,324,324,324,178,115,93,51,136,73,31,0,115,51,0,0,94,51,0,0,0,782,678,615,511,427,532,427,365,323,553,448,386,365,594,511,0,0,636,615,595,0,0
303,323,324,324,324,198,136,114,73,157,94,52,30,136,52,0,0,115,52,0,0,0,803,719,636,552,448,553,448,406,344,594,469,427,385,615,532,490,469,657,636,615,594,0
324,345,387,387,387,240,198,177,135,198,136,114,73,157,94,52,31,136,73,52,0,0,823,699,595,510,469,573,469,406,364,594,490,427,386,616,552,490,469,657,616,615,574,0
345,407,449,449,0,303,261,240,199,240,198,157,136,198,136,114,93,177,115,93,72,0,824,720,615,552,0,573,469,406,344,594,469,427,385,615,532,490,448,657,615,594,573,0
386,449,491,491,534,345,324,303,282,282,261,219,199,241,198,157,136,219,156,135,114,0,823,720,636,552,490,553,469,406,344,574,469,407,365,615,511,469,427,656,594,573,532,0
408,491,0,0,0,407,366,365,344,345,303,282,261,303,240,219,178,261,198,177,136,0,782,719,0,0,0,553,448,386,344,573,449,406,344,594,510,448,406,636,573,552,511,0
449,0,0,0,0,429,408,387,386,386,344,303,303,324,282,240,219,282,240,198,177,0,741,0,0,0,0,532,427,365,323,552,428,365,323,573,469,427,385,595,552,511,470,0
470,0,0,0,0,470,449,429,428,407,365,345,324,345,303,261,240,303,240,219,198,0,720,0,0,0,0,490,386,323,281,510,386,323,282,532,448,386,343,573,511,469,448,0
0,0,0,0,0,471,470,449,429,408,386,345,345,366,303,282,261,323,261,219,198,0,0,0,0,0,0,448,344,281,239,448,344,281,239,489,386,343,281,511,448,407,385,0
491,0,0,0,0,491,470,470,449,428,387,366,365,366,303,282,261,324,261,240,198,0,657,0,0,0,0,386,281,219,177,407,282,239,177,427,323,281,239,469,406,365,323,0
0,0,0,0,0,492,491,470,449,429,407,366,365,386,324,282,261,324,261,240,219,0,0,0,0,0,0,364,240,177,114,365,240,177,115,386,281,218,156,427,344,302,260,0
0,0,0,0,0,491,471,470,449,429,387,366,324,366,324,282,261,324,261,240,219,0,0,0,0,0,0,303,198,115,73,323,198,114,72,364,239,176,114,386,302,260,218,0
0,0,0,0,0,512,491,449,407,449,387,365,324,386,324,282,261,324,261,240,219,0,0,0,0,0,0,302,176,94,51,323,177,94,51,344,218,156,73,365,281,239,197,0
0,0,0,0,0,471,449,407,366,428,407,345,302,365,303,261,220,303,240,219,219,0,0,0,0,0,0,281,177,94,72,302,177,114,52,323,198,156,93,344,281,239,198,0
429,0,0,0,0,470,408,345,303,408,345,282,261,345,282,241,0,282,219,219,198,0,532,0,0,0,0,261,135,114,114,302,156,115,156,323,177,156,0,344,261,197,198,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,282,240,136,0,324,199,0,219,344,0,0,0,0,0,0,0,0,0,0,0,0,636,532,448,386,0,344,323,0,386,365,0,0,0,0,0,0,0,0,0,0,0,0
303,261,199,136,0,0,303,198,177,0,0,0,0,0,0,0,0,0,0,0,0,0,698,573,490,448,0,0,406,365,364,0,0,0,0,0,0,0,0,0,0,0,0,0
